"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration","TransAgonisticTotalDuration","TransAgonisticTotalOccur","TransAgonisticDeliveredDuration","TransAgonisticDeliveredOccur","TransAgonisticReceivedDuration","TransAgonisticReceivedOccur","TransNonSocialDuration","TransNonSocialOccur","TransInactiveNonSocialDuration","TransInactiveNonSocialOccur","TransFollowDur","TransFollowEv","TransDomEv","TransAttackDel","TransAttackRec","TransAvoidDur","TransAvoidEv","TransSubDur","TransSubEv","TransRitAggDur","TransRitAggEv","TransDefenseDur","TransDefenseEv","TransInactiveTogetherDur","TransInactiveTogetherEv","TransSniffHeadEv","TransStretchEv","TransDigDur","TransDigEv","TransInactiveDur","TransInactiveEv"
"227"," E11-11F","C","F","REP"," Colin",194435,55049,0,209419,4659,362695,0,114397,0,0,0,242165,0,1042,152449,403897,51252,8541,0,102,31,0,184,1,56,0,0,14,0,0,0,0,77,0,1,9,139,7,9,566,1381394,311,980020,18,160990,14,114397,32,275387,4,46593,272,653381,319,819980,261,451584,57,367354,12.5259362913426,3.49650756146648,11.989103741783,2.94443897916644,11.6474388752575,2.70805020110221,13.6170364482403,5.76832099579377,12.8140839619535,4.06044301054642,9.05275045140141,2.30258509299405,2.30258509299405,0,0,0,0,11.6474388752575,2.70805020110221,0,0,0,0,10.8445294318728,2.07944154167984,3.46573590279973,0,0,0,8.44677072711969,0.693147180559945
"228"," E12-01F","T","F","SHAM"," Colin",58150,329062,0,290886,19039,230950,2870,160285,0,0,1849,221871,0,0,79238,383853,21947,0,0,31,81,0,199,5,56,1,0,33,1,0,0,1,85,0,0,9,138,7,0,579,1528064,302,1037254,9,79238,35,163155,44,242393,-26,-83917,250,771065,345,762746,284,512757,61,249989,12.3983197803957,3.80666248977032,11.2802238808439,2.30258509299405,12.0024620773183,3.58351893845611,13.5446816694345,5.84643877505772,12.4291761960444,4.12713438504509,0,0,2.30258509299405,0,0.693147180559945,7.96241568012106,0.693147180559945,11.9847149985391,3.52636052461616,7.52294091807237,0.693147180559945,0,0,9.99643129817887,2.07944154167984,4.40671924726425,0,0,0,9.85429730834536,1.79175946922805
"229"," E12-08M","T","M","REP"," Colin",49494,264789,13185,222382,19317,594498,0,0,0,59950,138890,241436,0,0,25191,125853,2640,42375,0,23,74,2,141,4,63,0,47,0,1,0,18,42,53,0,0,10,72,1,9,492,1183545,297,709182,66,67566,1,0,67,67566,65,67566,169,440136,263,1090818,196,477003,67,613815,11.1208749771589,4.21950770517611,11.1208749771589,4.20469261939097,0,0.693147180559945,13.9024393482104,5.57594910314632,13.3274504879509,4.21950770517611,10.6543374432244,2.30258509299405,2.39789527279837,3.87120101090789,0.693147180559945,0,0,0,0,11.8414447318267,3.76120011569356,0,0,7.87891291229713,0.693147180559945,4.31748811353631,0,9.48691093967325,1.09861228866811,9.86879258273924,1.6094379124341
"230"," E12-10Fa","T","F","REP"," Colin",269922,105850,0,254756,77813,431167,0,43114,0,0,0,39259,0,0,2690,429203,145050,1176,0,79,32,0,149,11,80,0,0,7,0,0,0,0,20,0,0,2,114,10,1,404,1145970,245,997005,3,3866,7,43114,10,46980,-4,-39248,225,804975,260,802995,169,294015,91,508980,10.7574985436398,2.39789527279837,8.2602342916073,1.38629436111989,10.6716262433864,2.07944154167984,13.5961050115964,5.56452040732269,13.1401659667416,4.52178857704904,7.07072410726028,0.693147180559945,1.09861228866811,0,0,0,0,10.6716262433864,2.07944154167984,0,0,0,0,11.8848406837002,2.39789527279837,3.49650756146648,0,0,0,11.2620766425638,2.484906649788
"231"," E12-12F","T","F","REP"," Colin",95005,159595,0,240649,96438,730963,0,166902,781,0,852,47575,0,0,0,208298,52942,0,0,23,35,0,115,13,88,0,0,21,0,1,0,1,19,0,0,0,57,7,0,272,919657,145,684375,0,0,22,167683,22,167683,-22,-167683,115,462898,235,1115625,134,288224,101,827401,12.0298365347921,3.13549421592915,0,0,12.0298365347921,3.13549421592915,13.9249262403083,5.46383180502561,13.6260459502171,4.62497281328427,0,0,0,0,0,0,0,12.0251680843236,3.09104245335832,6.74875954749168,0.693147180559945,6.66185474054531,0.693147180559945,10.8769711421015,2.07944154167984,3.58351893845611,0,0,0,11.4766659630999,2.63905732961526
"232"," E12-15F","T","F","SHAM"," Colin",133032,64822,6727,278911,58666,460739,513,59371,0,0,0,136833,0,2293,130627,286604,178627,2235,0,68,28,1,199,8,84,1,1,22,0,0,0,0,62,0,1,14,120,24,2,519,1101968,280,855831,17,132862,23,59884,40,192746,-6,72978,216,484458,355,944169,262,422471,92,519405,12.1691337271021,3.71357206670431,11.7970738011239,2.89037175789616,11.0001813353816,3.17805383034795,13.7580615136601,5.87493073085203,13.1604411299346,4.53259949315326,7.71244383427499,1.09861228866811,2.70805020110221,0.693147180559945,0,6.24222326545517,0.693147180559945,10.9915780137447,3.13549421592915,0,0,0,0,12.0930607100526,3.2188758248682,3.36729582998647,0,8.81403320165278,0.693147180559945,10.9796326671542,2.19722457733622
"233"," E13-01M","T","M","GDX"," Colin",63530,148813,0,79581,513182,436938,58494,85294,94839,17738,120744,108988,0,0,716,70455,0,688,0,12,32,0,51,35,34,12,1,15,40,16,5,26,24,0,0,1,25,0,1,261,849880,186,661311,3,1404,83,238627,86,240031,-80,-237223,69,282798,144,1138689,75,188569,69,950120,12.3885275267694,4.46590811865458,7.24779258176785,1.38629436111989,12.3826611329763,4.43081679884331,13.9453890368158,4.97673374242057,13.7643446238871,4.24849524204936,6.53524127101366,0.693147180559945,0.693147180559945,0.693147180559945,3.71357206670431,10.9766965594817,2.56494935746154,11.3538711151146,2.77258872223978,11.70143616279,3.29583686600433,11.4599465401793,2.83321334405622,0,0,3.49650756146648,0,0,0,13.1483877856878,3.58351893845611
"234"," E13-05F","T","F","REP"," Colin",105804,297144,4085,116519,0,214432,0,222005,0,0,0,61121,0,1592,205232,456354,115712,0,0,45,57,2,93,0,21,0,0,10,0,0,0,0,29,0,1,33,129,12,0,399,1469856,286,1402251,33,205232,10,222005,43,427237,23,-16773,231,859302,146,397749,124,181725,21,214432,12.9650965139831,3.78418963391826,12.2319011980623,3.52636052461616,12.3104596875162,2.39789527279837,12.8935789462,4.99043258677874,12.2757526142451,3.09104245335832,0,0,3.52636052461616,0,0,0,0,12.3104596875162,2.39789527279837,0,0,0,0,11.6588682664205,2.56494935746154,4.06044301054642,0,8.31532177537757,1.09861228866811,0,0
"235"," E13-06F","T","F","SHAM"," Colin",9513,572452,0,236392,4063,87868,2943,241554,0,0,0,247529,0,0,24106,321977,51603,0,1,10,134,0,174,2,27,2,0,36,1,0,0,0,79,0,0,9,114,9,0,560,1656466,316,1224148,9,24106,39,244497,48,268603,-30,-220391,259,903942,282,575852,253,483921,29,91931,12.5009934549932,3.89182029811063,10.090257533736,2.30258509299405,12.4069624079045,3.68887945411394,13.2636076987735,5.64544689764324,11.4288044523048,3.40119738166216,0,0,2.30258509299405,0,0.693147180559945,7.98752447984877,1.09861228866811,12.3948524694164,3.61091791264422,0,0,0,0,10.851354467845,2.30258509299405,4.90527477843843,0.693147180559945,0,0,8.30992298925832,1.09861228866811
"236"," E13-12Fa","T","F","GDX"," Colin",253602,305461,0,125454,0,69066,0,34302,0,0,707,310304,0,1549,76602,584535,35085,3333,0,102,84,0,124,0,19,0,0,3,0,0,0,1,89,0,1,17,182,2,3,606,1695849,394,1293627,20,79935,3,34302,23,114237,17,45633,368,1143598,233,506373,213,435758,19,69066,11.6460392704174,3.17805383034795,11.2889815934852,3.04452243772342,10.4429880928862,1.38629436111989,13.135030805682,5.4553211153577,11.1428323269425,2.99573227355399,8.11192806331074,1.38629436111989,2.89037175789616,0,0,0,0,10.4429880928862,1.38629436111989,6.56244409369372,0.693147180559945,0,0,10.4655574694891,1.09861228866811,4.44265125649032,0,0,0,0,0
