"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration"
"259"," E18-09M","T","M","SHAM"," Colin",28682,267535,5755,281412,101571,326074,27247,62771,8508,83927,96115,149099,0,0,44631,221534,90021,5118,0,17,83,4,175,25,64,10,18,3,3,5,16,37,59,0,0,4,85,4,2,521,1282334,287,936089,24,49749,21,98526,45,148275,3,-48777,185,517751,327,863911,238,436266,89,427645
"260"," E20-02F","T","F","REP"," Colin",99708,153660,0,106236,3336,275391,1502,118755,0,0,0,69938,0,2520,37676,237686,687982,5610,1,45,32,0,87,1,63,1,0,8,0,0,0,0,26,0,1,7,79,36,5,292,833291,214,1342579,12,43286,9,120257,21,163543,3,-76971,157,491054,178,457421,113,176174,64,278727
"261"," E20-03F","T","F","GDX"," Colin",17096,65349,0,15726,17291,488926,949,15528,0,0,0,4044,0,0,568609,115884,490598,0,0,12,16,0,16,2,42,1,0,4,0,0,0,0,2,0,0,23,33,29,0,107,803185,118,1274013,23,568609,5,16477,28,585086,18,552132,61,198329,62,525987,18,19770,44,506217
"262"," E20-04F","T","F","SHAM"," Colin",247440,178374,0,149601,54161,185883,0,133322,0,0,0,116180,0,15,67227,430654,213242,3711,0,103,59,0,142,10,54,0,0,15,0,0,0,0,45,0,1,9,149,21,5,528,1326524,361,1273970,14,70938,15,133322,29,204260,-1,-62384,311,856468,252,505840,187,265781,64,240044
"263"," E20-07F","T","F","REP"," Colin",215448,190473,0,75851,5008,217001,0,319351,0,0,0,60061,0,0,30026,331940,351788,3053,0,73,39,0,77,5,29,0,0,27,0,0,0,0,24,0,0,5,121,45,5,371,1226203,315,1442079,10,33079,27,319351,37,352430,-17,-286272,233,737861,135,357921,101,135912,34,222009
"264"," E20-09F","T","F","REP"," Colin",262325,113634,0,135208,1044,260650,0,31125,0,0,0,106838,0,0,107040,425228,348032,8876,0,98,40,0,99,1,47,0,0,7,0,0,0,0,34,0,0,20,154,37,14,466,1190274,370,1296260,34,115916,7,31125,41,147041,27,84791,292,801187,181,503740,133,242046,48,261694
"265"," E2-02","C","F","GDX"," Colin",0,79646,5220,76542,478212,474183,49525,11556,230320,177754,172444,10104,0,0,5010,29484,0,0,0,0,20,1,41,34,45,15,0,3,136,25,26,35,4,0,0,2,8,0,0,316,847605,270,755739,2,5010,179,291401,181,296411,-177,-286391,28,109130,125,1044261,46,91866,79,952395
"266"," E2-03","C","F","SHAM"," Colin",83642,221218,0,199347,854,186028,0,210593,0,0,1371,106925,0,0,145340,618026,25947,709,0,58,72,0,161,1,42,0,0,30,0,0,0,2,72,0,0,20,184,2,1,600,1587171,369,1306846,21,146049,30,210593,51,356642,-9,-64544,314,922886,276,493154,233,306272,43,186882
"267"," E2-04","C","M","GDX"," Colin",148569,189750,0,131408,80086,298719,0,164511,0,0,0,84263,720,0,213335,394656,86240,7743,0,50,56,0,93,6,39,0,0,22,0,0,0,0,40,1,0,17,98,8,7,384,1334955,259,1205524,24,221078,22,164511,46,385589,2,56567,205,733695,178,594476,133,215671,45,378805
"268"," E2-05","C","F","REP"," Colin",49210,37439,0,57588,119504,124292,0,84567,0,0,0,50750,0,0,48685,94150,1133815,0,0,16,9,0,34,14,23,0,0,7,0,0,0,0,17,0,0,3,25,10,0,111,422389,70,1447866,3,48685,7,84567,10,133252,-4,-35882,50,180799,88,352134,51,108338,37,243796
