Mouse,Sex,Treatment,Gonad,GonadWeight,ProstateWeight,AnimalWeight
E5-05,F,T,SHAM,0.138,-999,30.7
E5-06,M,T,SHAM,0.34,0.31,41.8
E5-07,M,T,GDX,-999,0.1,41.6
E5-08,M,T,REP,-999,0.155,42
E6-01,M,T,GDX,-999,0.072,40
E6-02,M,T,REP,-999,-999,-999
E6-03,F,T,SHAM,0.13,-999,41.6
E6-04,M,T,REP,-999,0.206,38.4
E6-05,F,T,GDX,-999,-999,-999
E6-06,M,T,SHAM,0.29,0.17,41.6
E6-07,F,T,REP,-999,-999,31.8
E6-08,M,T,GDX,-999,0.1,39.7
E7-01,M,C,REP,-999,0.16,38.3
E7-02,M,C,GDX,-999,0.12,-999
E7-03,M,C,REP,-999,0.34,42.5
E7-04,F,C,SHAM,0.092,-999,31.5
E7-05,F,C,GDX,-999,-999,39.7
E7-06,F,C,REP,-999,-999,32.9
E7-07,M,C,SHAM,0.323,0.393,51.2
E7-08,F,C,GDX,-999,-999,32.8
E8-02M,M,C,SHAM,0.4,0.14,38.5
E8-03F,F,C,REP,-999,-999,35
E8-04F,F,C,GDX,-999,-999,33.8
E8-05Fa,F,C,REP,-999,-999,35.7
E8-05Fb,F,C,GDX,-999,-999,32.8
E8-07Ma,M,C,REP,-999,0.056,39.9
E8-07Mb,M,C,GDX,-999,0.065,-999
E9-01Ma,M,C,SHAM,0.435,0.142,40.1
E9-01Mb,M,C,SHAM,0.602,0.15,40.4
E9-03F,F,C,REP,-999,-999,35.7
E9-04M,M,C,REP,-999,0.123,40.2
E9-05F,F,C,SHAM,0.138,-999,30.2
E9-09M,M,C,GDX,-999,0.104,38.7
E9-13M,M,C,GDX,-999,0.13,37.9
