Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E27-04M,C,M,PRE,NA, Colin,180121,90898,0,108524,5925,22591,0,0,0,9736,27368,78918,0,0,39698,318848,0,16336,0,68,27,0,67,3,3,0,13,0,1,0,6,9,25,0,0,11,88,0,19
 E27-05F,C,F,PRE,NA, Colin,375080,40527,1104,116782,7035,29119,0,10196,0,0,0,65165,0,0,0,231544,10787,12661,0,125,13,1,82,5,11,0,0,2,0,0,0,0,30,0,0,0,113,2,22
 E27-06M,C,M,PRE,NA, Colin,144852,97560,0,145117,1054,20778,9766,15463,5401,18775,8334,58647,536,0,38855,302317,0,32545,0,85,49,0,97,2,11,6,2,8,2,2,2,2,32,1,0,6,126,0,35
 E27-08F,C,F,PRE,NA, Colin,281963,108868,0,58430,0,7604,0,58301,0,0,0,30022,0,0,0,335070,5020,14722,0,158,48,0,64,0,3,0,0,18,3,0,0,0,23,0,0,0,185,1,22
 E28-01F,C,F,PRE,NA, Colin,325981,7070,0,145192,5902,28244,0,74241,0,0,0,51998,0,0,2544,226686,13930,18212,0,136,9,0,141,3,13,0,1,20,4,0,0,0,42,0,0,3,131,4,23
 E28-03F,C,F,PRE,NA, Colin,351994,26248,0,121726,0,43762,246,67396,1079,0,0,48915,0,0,488,214357,5893,17896,0,126,15,0,129,0,16,1,0,20,4,2,0,0,33,0,0,1,97,2,27
 E28-06M,C,M,PRE,NA, Colin,94740,30095,69401,216271,0,15202,5706,5332,208,0,0,297151,0,0,10720,151915,1144,1102,0,51,22,28,194,0,11,3,0,5,0,1,0,0,131,0,0,4,88,1,1
 E28-07F,C,F,PRE,NA, Colin,251645,65232,322,136489,0,14371,0,30023,1408,0,0,87115,0,0,38845,257715,14010,2825,0,125,44,1,129,0,9,0,0,21,4,2,0,0,59,0,0,22,151,2,5
 E28-08M,C,M,PRE,NA, Colin,217690,67041,0,124308,0,33105,1224,81337,0,0,40253,53672,0,0,13928,255490,6240,5712,0,99,27,0,116,0,15,1,7,21,3,0,0,3,37,0,0,5,119,1,7
 E29-01F,C,F,PRE,NA, Colin,360973,47041,0,55249,0,5665,0,80262,0,0,354,33367,0,0,6058,240429,53997,16605,0,116,23,0,62,0,4,0,0,35,3,0,0,1,21,0,0,1,128,10,22
 E29-02F,C,F,PRE,NA, Colin,196728,42423,2292,190273,5513,48257,55,63545,512,0,620,82500,0,0,0,263597,0,3685,0,147,28,1,191,2,19,1,0,29,1,1,0,1,64,0,0,0,188,0,8
 E29-03F,C,F,PRE,NA, Colin,272157,43386,0,112644,1343,83268,0,28916,541,0,0,70519,0,0,8424,268499,2949,7354,0,152,21,0,144,1,14,0,0,19,0,2,0,0,53,0,0,2,151,2,14
 E29-07M,C,M,PRE,NA, Colin,171777,97175,0,168090,0,28152,1280,48447,0,0,0,95355,0,0,65475,216269,3995,3807,0,102,53,0,179,0,13,1,2,26,0,0,0,0,65,0,0,16,134,3,5
 E30-04M,C,M,PRE,NA, Colin,149678,49610,4057,172597,97185,13455,0,65034,1240,0,1902,84172,0,0,25150,219603,10121,6196,0,75,23,1,110,27,6,0,9,15,0,1,0,2,49,0,0,6,87,5,7
 E30-05M,C,M,PRE,NA, Colin,158882,80012,23425,120467,1657,11248,1241,97481,1527,0,2440,68441,0,0,28346,212982,90486,1365,0,78,38,7,98,2,3,2,2,22,2,2,0,1,45,0,0,6,108,11,2
 E30-06F,C,F,PRE,NA, Colin,215762,26506,0,126526,9791,26772,0,29153,0,0,0,76266,0,0,0,211238,167789,10197,0,63,15,0,96,7,16,0,0,12,1,0,0,0,44,0,0,0,81,9,11
 E30-07M,C,M,PRE,NA, Colin,162154,109076,0,126867,503,42974,0,79369,0,0,0,69598,0,1102,42657,183673,79728,2299,0,102,55,0,145,1,8,0,1,34,0,0,0,0,54,0,1,13,146,3,2
 E31-01F,C,F,PRE,NA, Colin,192953,40951,5778,140664,871,34062,0,123886,312,0,0,140424,0,0,0,200945,13611,5543,0,81,22,2,133,1,10,0,0,33,1,1,0,0,86,0,0,0,115,5,7
 E31-02F,C,F,PRE,NA, Colin,338048,53442,0,91358,0,63429,0,35884,0,0,7843,44261,0,0,0,249431,3953,12351,0,96,16,0,84,0,15,0,0,12,0,0,0,1,23,0,0,0,104,1,17
 E31-06M,C,M,PRE,NA, Colin,151223,61978,0,193334,0,41210,633,57173,0,0,0,82763,0,0,25731,279959,0,5996,0,106,35,0,180,0,11,1,0,26,0,0,0,0,65,0,0,7,153,0,5
 E31-07M,C,M,PRE,NA, Colin,137801,68127,0,129244,0,14185,32,204640,0,0,0,39328,0,0,19996,219685,64213,2749,0,72,38,0,115,0,5,1,0,33,0,0,0,0,28,0,0,12,124,16,3
 E32-02M,C,M,PRE,NA, Colin,23587,26995,0,199914,184504,158354,11188,1624,2839,226342,11801,7611,0,0,0,44633,0,608,0,14,17,0,93,38,35,10,1,3,7,3,30,9,8,0,0,0,29,0,1
 E32-05F,C,F,PRE,NA, Colin,308045,28850,0,82598,0,38279,663,31133,0,0,3763,130957,0,0,921,271668,0,3123,0,158,29,0,138,0,13,1,0,18,0,0,0,2,53,0,0,1,164,0,5
 E32-06F,C,F,PRE,NA, Colin,288263,41371,279,122310,0,89145,0,28540,0,0,0,101169,0,0,1313,220534,1307,5769,0,146,22,1,147,0,18,0,0,11,1,0,0,0,50,0,0,1,136,2,9
 E32-07M,C,M,PRE,NA, Colin,57143,82907,3024,122010,36482,20341,1323,122932,13554,100744,60019,21769,0,0,33002,223274,0,1476,0,26,47,1,95,12,6,2,23,21,6,9,39,31,17,0,0,11,88,0,1
 E32-08F,C,F,PRE,NA, Colin,276443,37124,1337,174748,318,50428,0,27262,0,0,0,31755,0,0,0,281299,3303,15983,0,189,27,1,194,1,17,0,0,15,2,0,0,0,30,0,0,0,186,1,23
 E33-06M,C,M,PRE,NA, Colin,199498,43809,0,185558,377,80172,6059,47953,0,0,871,46750,0,0,4168,269497,4614,10674,0,113,25,0,155,1,28,4,0,21,0,0,0,1,42,0,0,3,139,1,14
 E33-07M,C,M,PRE,NA, Colin,160773,37548,4633,229392,859,11785,712,48021,488,0,2981,127048,0,0,13913,255018,3730,3099,0,102,26,2,200,1,10,1,0,20,0,1,0,2,86,0,0,8,138,1,4
 E33-08F,C,F,PRE,NA, Colin,219352,98607,0,102940,1246,12939,0,38107,0,0,0,23975,0,0,23018,372015,2625,5176,0,151,51,0,133,1,8,0,0,21,0,0,0,0,18,0,0,9,215,3,6
 E34-03F,C,F,PRE,NA, Colin,179315,104766,0,69002,0,82205,0,9419,1282,0,0,69412,0,0,39590,339004,0,5846,0,120,61,0,104,0,10,0,0,6,0,1,0,0,51,0,0,17,173,0,9
 E34-04F,C,F,PRE,NA, Colin,254866,48783,0,129584,0,17317,2576,55234,2083,0,14717,44672,0,0,7447,317068,0,5653,0,176,38,0,160,0,16,1,1,26,20,3,0,9,37,0,0,7,214,0,10
 E34-05M,C,M,PRE,NA, Colin,222331,87745,936,152364,1506,22252,641,23535,808,0,0,102821,0,0,17641,249890,10464,7066,0,128,41,1,183,2,12,1,0,16,0,1,0,0,56,0,0,7,130,3,9
 E34-07M,C,M,PRE,NA, Colin,209407,63204,1248,185045,4232,26004,0,65139,0,0,0,75980,0,337,777,252342,888,15397,0,115,29,1,134,5,13,0,0,24,0,0,0,0,39,0,1,1,126,1,20
 E34-08F,C,F,PRE,NA, Colin,445810,32869,0,66319,0,6778,0,18024,0,0,0,4677,0,0,0,316149,0,9374,0,166,18,0,77,0,3,0,0,7,0,0,0,0,5,0,0,0,160,0,19
 E35-02F,C,F,PRE,NA, Colin,209214,71108,0,90054,0,31080,0,65228,688,0,0,72215,0,0,57440,280650,14830,7397,0,102,40,0,103,0,14,0,0,19,2,1,0,0,34,0,0,11,141,4,11
 E35-06M,C,M,PRE,NA, Colin,222794,29441,0,158683,4153,41768,0,117536,462,0,0,92199,0,0,7586,203538,16626,5214,1,98,19,0,162,3,17,0,0,25,0,1,0,0,62,0,0,1,110,5,7
 E35-07M,C,M,PRE,NA, Colin,73437,49269,6047,236839,2486,34573,1975,23907,0,13391,17987,243031,0,0,39189,154011,0,3858,0,67,26,4,245,3,12,2,2,10,1,0,5,10,151,0,0,15,110,0,7
 E35-08F,C,F,PRE,NA, Colin,212863,29748,23291,156706,0,11347,0,19116,0,0,0,244552,0,0,488,191567,0,10322,0,117,12,9,184,0,6,0,0,11,0,0,0,0,109,0,0,1,138,0,13
 E36-03F,T,F,PRE,NA, Colin,376018,4103,0,177824,0,20353,0,16475,906,0,376,154988,0,1201,0,134793,0,12963,0,178,4,0,217,0,11,0,0,16,1,2,0,1,101,0,2,0,132,0,21
 E36-03M,T,M,PRE,NA, Colin,16922,59877,0,226808,25893,57750,39697,4502,8269,46953,167282,98913,0,0,0,144927,0,2207,0,17,49,0,138,13,16,5,13,2,3,7,20,71,46,0,0,0,100,0,2
 E36-05M,T,M,PRE,NA, Colin,82179,87728,0,79852,1239,42685,0,32220,406,43914,25468,16766,0,0,64393,417669,0,5481,0,70,53,0,98,2,16,0,8,19,0,1,4,13,18,0,0,32,184,0,9
 E36-06M,T,M,PRE,NA, Colin,195433,87422,323,127741,0,22984,0,81932,0,0,0,47936,0,0,28121,297623,0,10485,0,136,48,1,140,0,11,0,0,40,0,0,0,0,33,0,0,15,180,0,16
 E36-07M,T,M,PRE,NA, Colin,146667,82198,0,89579,1370,43809,1485,132962,0,0,6885,34730,0,0,31746,321963,5125,1481,0,79,42,0,90,2,7,1,0,19,0,0,0,2,34,0,0,12,140,3,3
