Subject,Treatment,Sex,Gonad,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E14-07M,T,M,PRE,Colin,238251,151516,0,326533,0,200645,0,111804,0,0,4465,196743,0,0,42392,428173,86796,12682,0,135,70,0,240,0,39,0,2,12,0,0,0,2,121,0,0,13,195,13,17
 E14-09Fa,T,F,PRE,Colin,89657,182258,0,166159,7784,345655,0,91635,0,0,0,86662,0,1075,47787,269234,509799,2295,1,46,58,0,108,1,25,0,0,17,0,0,0,0,58,0,1,13,98,32,2
 E15-01F,C,F,PRE,Colin,103788,138102,0,70078,3623,231548,2480,13832,608,0,0,82579,0,0,92503,236725,822198,1936,0,42,30,0,55,1,38,2,0,4,0,1,0,0,33,0,0,14,69,20,2
 E15-02F,C,F,PRE,Colin,85902,135360,0,167249,18778,109365,1322,147117,0,0,0,172211,0,0,34339,135335,792092,930,0,49,43,0,135,5,41,1,0,11,0,0,0,0,81,0,0,6,76,16,1
 E15-07M,C,M,PRE,Colin,119938,65775,17723,218307,0,865478,0,11453,0,0,0,365828,0,0,679,113478,19703,1638,0,58,45,7,173,0,92,0,0,4,1,0,0,0,107,0,0,1,74,4,3
 E15-09M,C,M,PRE,Colin,100890,238570,2231,212407,610,124766,496,29682,2209,0,26022,444162,0,0,271996,207702,131230,7027,0,50,78,1,213,1,25,1,3,10,1,2,0,10,150,0,0,36,105,12,9
 E16-05F,T,F,PRE,Colin,62385,72950,0,83660,572507,647416,0,50637,0,0,0,41887,0,0,121087,84427,60526,2518,2,22,24,0,42,11,44,0,0,3,0,0,0,0,20,0,0,20,35,9,3
 E16-07F,T,F,PRE,Colin,81702,163106,0,103476,31469,462574,14108,168262,8640,18098,84704,40586,0,724,86570,263550,267201,5230,2,32,66,0,67,12,35,11,9,23,35,1,5,29,19,0,1,20,98,17,5
 E16-11F,T,F,PRE,Colin,235484,302191,1817,129898,0,344456,0,30597,0,0,0,226150,0,0,27956,295716,191058,14677,0,77,53,1,113,0,61,0,0,7,0,0,0,0,89,0,0,1,102,7,18
 E16-12F,T,F,PRE,Colin,100885,225011,0,124305,3504,439189,0,180235,0,0,0,122140,0,0,95378,252758,254308,2287,0,34,46,0,78,2,51,0,0,7,0,0,0,0,59,0,0,6,67,3,3
 E16-15M,T,M,PRE,Colin,101789,200312,0,170964,28727,375057,13973,54764,9514,6730,20182,277545,0,0,42616,188178,305894,3755,1,41,47,0,151,10,53,8,1,10,15,3,4,12,94,0,0,9,75,15,5
 E17-01M,T,F,PRE,Colin,58071,33127,0,18973,233808,231040,623,226223,0,0,0,6462,0,0,253527,81702,648887,7557,0,27,7,0,11,4,24,1,0,11,0,0,0,0,1,0,0,21,35,13,11
 E17-05F,T,F,PRE,Colin,115863,104323,0,93568,78183,263048,0,18029,0,0,0,39372,0,0,308144,135496,642838,1136,2,42,36,0,53,5,25,0,0,6,0,0,0,0,16,0,0,32,60,11,1
